X1	Demo_A1	Demo_A2	Demo_A3	Demo_B1	Demo_B2	Demo_B3	Demo_C1	Demo_C2	Demo_C3	Demo_D1	Demo_D2	Demo_D3
Gene42	3	224	11	224	605	21	4	29	29	17	21	46
Gene43	15	58	19	58	22	29	4	16	21	12	19	5
Gene44	7	29	0	29	44	10	54	46	7	73	0	0
Gene45	159	22	6	22	17	16	10	10	46	92	6	8
Gene46	1005	31	19	31	37	29	13	12	16	52	72	17
Gene47	45	21	0	21	0	10	89	73	360	61	66	604
Gene48	4	74	6	74	17	16	35	34	16	30	37	25
Gene49	9	16	72	16	27	82	35	36	27	48	26	23
Gene50	450	224	66	224	605	76	10	10	19	19	11	18
Gene51	7	28	37	28	22	47	17	17	15	12	19	5
Gene52	11	37	26	37	44	36	129	109	10	21	0	0
Gene53	30	29	11	29	17	21	46	47	5	7	6	8
Gene54	11	25	19	25	37	29	27	36	32	46	39	46
Gene55	7	51	0	51	0	10	605	21	16	16	17	27
Gene56	91	11	6	11	17	16	22	29	224	360	604	605
Gene57	9	10	19	10	0	23	44	10	10	607	67	597
Gene58	146	138	12	138	6	18	17	16	138	11	8	1
Gene59	6	12	21	12	19	5	37	29	12	98	245	88
Gene60	39	73	7	73	0	0	0	10	73	22	1	12
Gene61	108	92	46	92	6	8	17	16	92	10	9	0
Gene62	71	52	16	52	72	17	27	82	52	10	13	0
Gene63	42	61	360	61	66	604	605	76	61	41	43	31
Gene64	54	30	16	30	37	25	22	47	30	10	11	0
Gene65	84	48	27	48	26	23	44	36	48	41	158	31
Gene66	29	19	19	19	11	18	17	21	19	11	8	7
Gene67	30	12	15	12	19	5	37	29	12	19	61	46
Gene68	19	21	10	21	0	0	0	10	21	0	27	16
Gene69	8	7	5	7	6	8	17	16	7	6	387	360
Gene70	61	46	32	46	39	46	30	49	46	39	29	25
Gene71	27	16	16	16	17	27	34	27	16	17	36	39
Gene72	387	360	224	360	604	605	564	614	360	604	14	6
Gene73	29	25	19	25	2	1	9	12	25	2	84	67
Gene74	36	39	27	39	24	34	40	34	39	24	3	8
Gene75	14	6	4	6	17	17	18	27	6	72	16	27
Gene76	84	67	42	67	597	445	97	607	67	66	224	605
Gene77	3	8	5	8	1	3	5	11	8	37	28	22
Gene78	273	245	121	245	88	36	270	98	245	26	37	44
Gene79	0	1	2	1	12	6	7	22	1	11	29	17
Gene80	3	9	6	9	0	1	2	10	9	19	25	37
Gene81	13	5	9	13	0	0	0	10	13	0	51	0
Gene82	43	31	35	43	31	32	27	41	43	6	11	17
Gene83	11	11	9	11	0	1	0	10	11	19	10	0
Gene84	158	140	82	158	31	29	354	41	158	12	138	6
Gene85	79	72	40	79	190	109	101	200	79	21	12	19
Gene86	3	1	1	3	7	2	2	17	3	7	73	0
Gene87	209	171	181	209	109	101	102	119	209	109	5	1
Gene88	17	25	35	17	2	2	1	12	17	2	62	201
Gene89	420	395	405	420	98	102	201	108	420	1	1	5
Gene90	13	13	23	13	5	1	5	15	13	5	1	12
Gene91	75	42	52	75	62	201	12	72	75	6	1	5
Gene92	34	31	852	34	7	5	0	17	34	6	9	2
Gene93	1	2	25	1	2	12	6	12	1	21	9	6
Gene94	64	73	45	64	4	5	12	14	64	91	69	0
Gene95	20	19	16	16	8	2	22	18	16	126	94	1
Gene96	6	3	1	1	1	6	3	11	1	8	2	6
Gene97	7	8	6	6	1	0	7	11	6	14	12	0
Gene98	19	10	12	12	4	1	8	14	12	20	363	247
Gene99	7	7	3	3	7	6	6	17	3	17	1	12
Gene100	10	11	10	10	0	0	0	10	10	5	1	3
